episode,step,reward
367,225857,103.48799376861973
368,226854,107.24323111684961
369,227776,111.04982852423993
370,228689,113.81290698082614
371,229720,117.02311430917239
372,230655,120.38279998305917
373,231603,122.61066542625224
374,232524,124.37823038062875
375,232621,123.78920129186191
376,233557,124.94079941722781
377,234180,124.52853054795723
378,235148,125.71068282840761
379,236067,127.22528384207543
380,237074,127.7244461737644
381,238034,130.68502342417938
382,239067,131.46392303430028
383,239168,127.91419591434814
384,240347,128.21015079995576
385,241234,128.58326103799283
386,242488,128.7761429324441
387,243381,131.7474757603115
388,243968,132.61931681107168
389,244869,133.07184441151244
390,245749,136.62641230526756
391,246137,134.14398590507122
392,246514,131.5985883998248
393,247455,131.89610016976982
394,248331,134.95624290023906
395,249197,135.1513986836825
396,250066,138.43319362303637
397,250937,138.7381224617815
398,251392,136.45133033544033
399,252305,136.72877484449083
400,252693,134.08647999691107
401,253126,133.04391414355317
402,253990,133.26307043263347
403,254898,133.63991473951467
404,255350,131.02369836444305
405,256250,134.63407197102666
406,257133,138.16660616226454
407,257366,138.30887052035925
408,258268,141.0931012833259
409,258938,143.03380722962586
410,259160,143.29721320297148
411,260071,146.27519478076158
412,260831,145.290041176232
413,261764,149.0546654168612
414,262622,148.2134497141123
415,263441,148.44945180276252
416,263681,148.4643136058586
417,263816,145.00037781707243
418,264366,146.2080007597214
419,265240,148.13363663771366
420,265640,149.08620675497338
421,266470,152.98591991108452
422,266698,152.5514331811245
423,267546,152.7060009012614
424,268053,153.63348885924984
425,268350,153.667896094716
426,268602,150.65439731946498
427,268844,149.9933893301868
428,269354,151.21256822139813
429,269604,151.85920448579682
430,269946,152.47919386274182
431,270174,152.5536345938995
432,270470,151.976318153129
433,270837,149.23398565472021
434,271684,152.77071758858952
435,271912,152.25810379536372
436,272316,149.56746816938846
437,273133,149.73551635702853
438,273415,149.91395608335873
439,273755,150.85356224076864
440,274622,153.90943878472623
441,275194,153.93070516209136
442,275397,154.2207017355182
443,275949,155.15505476389703
444,276773,155.2763037201492
445,277653,157.33819518944293
446,278507,157.54559647790242
447,279112,159.68994792351566
448,279952,163.71944689727988
449,280607,166.04245880299914
450,280984,166.73721964716776
451,281849,170.77535155106048
452,282194,167.99529764236146
453,282975,171.4054516851476
454,283810,172.74496897904166
455,284690,172.8351614663318
456,285547,172.8354099716348
457,286399,172.86860624082524
458,287245,172.95623143794023
459,288122,173.03012379635666
460,288963,174.51723493682334
461,289807,177.45637393794186
462,290701,179.21133578071058
463,291587,181.30230615063337
464,291844,178.13058392681663
465,292674,180.94258469270903
466,293520,181.02880767673753
467,294311,181.13811197950886
468,295105,181.18896251500874
469,295948,181.22377789394687
470,296780,181.3080287446132
471,297563,181.43818297548486
472,298362,181.47881157193814
473,299161,181.5851363811275
474,299968,181.6569739350076
475,300843,185.70391392326582
476,301639,185.78720305198902
477,302448,187.8995552555038
478,302819,185.02784200640392
479,303298,182.61550662515202
480,304086,182.6519357308581
481,304935,182.69109571809372
482,305777,182.68614915638423
483,306566,186.6365664071404
484,307371,186.82012755002134
485,308183,186.8372761676189
486,309033,187.03412964959833
487,309560,184.6816811479521
488,310377,187.14630710437268
489,311205,187.08928341671367
490,312021,187.09433231074493
491,312813,189.96870064550913
492,313649,192.96658262876463
493,314510,193.02409888066265
494,315359,193.03004586661402
495,316180,193.0903851834971
496,317028,193.0865718463339
497,317853,193.09262206366347
498,318616,195.78996033498862
499,319455,195.88298884661216
500,320287,198.9021157052309
501,321081,201.71255373902764
502,321875,201.79998790041532
503,322628,200.38109887686744
504,323467,203.2171919325674
505,324274,203.29759068313786
506,325059,203.36912445631185
507,325904,206.8749334075431
508,326383,204.38334214622043
509,327204,206.30153441307178
510,327466,206.5852679899513
511,328283,206.77873146157717
512,329114,208.12024835696843
513,329953,208.0902147171425
514,330783,209.20227156393668
515,331573,209.2366787319465
516,332392,212.62666800549488
517,333209,216.37620399111177
518,333943,217.30809763826727
519,334732,217.396380831901
520,335539,220.21493095025625
521,336343,220.28843520633976
522,337124,223.71412593726305
523,337986,223.6417435266243
524,338231,222.5122920580791
525,339069,225.68732127214034
526,339953,228.8331475402287
527,340769,232.2659856056775
528,341523,234.56391574363636
529,342000,235.40887514370675
530,342285,235.27134022997416
531,342549,235.29711822903778
532,342720,234.73685534332873
533,343533,237.61155412388587
534,344345,237.6211857113607
535,345153,241.10077139039052
536,345930,243.99436722079233
537,346769,243.98631807878868
538,347032,243.99561905543393
539,347818,245.75493334075173
540,348647,245.79495936966165
541,349465,247.81641099779918
542,350218,251.35774321883963
543,351005,253.3841470783299
544,351815,253.38453725114846
545,352663,253.35689262397437
546,353467,253.3370697945819
547,354291,255.22525874053048
548,355083,255.28766532998972
549,355860,256.94805553759284
550,356652,259.7467465512934
551,357467,259.7543217307966
552,358296,262.67541779131074
553,359093,262.5906667467369
554,359866,263.8606539453429
555,360654,263.8673224389527
556,361428,263.96993922416493
557,361876,261.54060727476804
558,362310,259.0146091577108
559,363122,258.9794086472689
560,363336,255.548784961548
561,364086,254.45484271059425
562,364877,254.46691730446634
563,365407,252.35947883265763
564,366181,255.65035547577662
565,366964,255.6687678936323
566,367197,252.24426905012592
567,367682,249.86843805048375
568,368462,249.84101862191034
569,369243,249.85134505217113
570,370028,249.78996147272161
571,370835,249.74149226477542
572,371584,249.7692273665524
573,371933,246.73228642346012
574,372754,246.69351407808506
575,373554,246.6462102187391
576,374333,246.59970962066876
577,375123,246.61694424400218
578,375904,249.56991379600757
579,376762,251.9536366212021
580,377580,251.95111171486383
581,378350,252.00338712279722
582,379198,252.01062055861058
583,380017,252.00876778430435
584,380228,248.5225993662548
585,381044,248.58928630833668
586,381522,246.1981705610742
587,382300,248.61647894497838
588,383068,248.6394455168074
589,383456,246.0527757972997
590,383857,243.40477043451264
591,384689,243.38064806148898
592,385467,243.4148654225449
593,386290,243.47541127693992
594,387164,243.4759673896133
595,388027,243.4934215950181
596,388598,241.48115155026665
597,389383,241.56255189916143
598,390147,241.52960369958237
599,390928,241.51829694206333
600,391726,241.48491631291813
601,392122,238.7760567502848
602,392465,235.84097725037876
603,393056,235.37272654654592
604,393775,234.11851149862935
605,394545,234.14987848323918
606,395386,234.15894003905785
607,396208,234.2019793267091
608,397000,236.7350671761082
609,397811,236.81583802173603
610,398570,240.1216452158278
611,399393,240.11021815177943
612,400194,240.11863694322284
613,400618,237.5886447536701
614,401420,237.68421719008856
615,402227,237.69812483810324
616,403019,237.70173762919768
617,403297,234.46733191369003
618,404127,235.81553611366587
619,404932,235.84616694732296
620,405748,235.89490388389723
621,406258,233.57837131519128
622,406636,230.81829563997454
623,407167,228.70544614418526
624,408767,227.27610263503936
625,409577,227.32109304741735
626,411177,222.62060141437217
627,412777,218.04482996692218
628,414377,213.19291856092244
629,415977,211.0841297077476
630,417577,209.42718216671875
631,418284,211.32784890466297
632,419084,215.0289424825363
633,419838,215.12067712235836
634,420620,215.12123678520828
635,421087,212.77608463949724
636,421807,212.84863782959133
637,422552,212.8949389820162
638,423306,216.18111775527544
639,424064,217.45762790788262
640,424864,217.45696843766007
641,425646,217.51118004591453
642,426426,217.48049144531515
643,427190,217.44929560240533
644,427999,217.45480982740898
645,428786,217.49930303123554
646,429585,217.4633605647427
647,430387,217.50784685984982
648,431226,217.5506548365324
649,431716,215.19715723710055
650,432575,215.1426495133038
651,433382,215.1215456122067
652,434157,215.0818689454085
653,434965,215.04503741307
654,435758,215.04705377248166
655,436498,215.03620614571645
656,437280,214.97365224759818
657,438026,217.4931912072263
658,438589,218.10339478485284
659,439097,216.05651190289157
660,439309,216.02521304871033
661,440090,217.13863608547138
662,440891,217.10573959574586
663,441643,219.27646571403696
664,442460,219.2572880559263
665,443238,219.23732255957705
666,443940,222.68798613932688
667,444696,225.01147259186408
668,445458,225.0171866290699
669,446232,225.02649033331215
670,446996,225.05688402814954
671,447803,225.02135832104935
672,448588,224.98285879390707
673,449359,227.9979684736528
674,450143,228.00405569429714
675,450934,227.99414489470274
676,451727,228.01068236353098
677,452592,227.95295482092527
678,453368,227.96117606167095
679,454129,228.07337769993657
680,454890,228.12089350888323
681,455696,228.0840807489201
682,456490,228.1429495991964
683,457230,228.20746111669186
