episode,step,reward
734,779420,267.28
735,780240,233.95
736,781070,289.48
737,781887,271.72
738,782729,253.58999999999997
739,783560,255.64
740,784391,274.36
741,785221,277.12
742,786048,240.25
743,786900,259.96
744,787736,252.10000000000002
745,788543,279.7
746,789357,213.82999999999998
747,790168,205.70999999999998
748,791038,211.39999999999998
749,791890,301.49
750,792712,268.65
751,793539,221.8
752,794376,209.98000000000002
753,795215,202.64999999999998
754,796075,205.37
